Designator,Mid X,Mid Y,Rotation,Layer
C1,145.75,-135.25,90.0,top
C2,152.5,-125.75,270.0,top
D1,131.0,-106.5,0.0,top
D10,111.5,-95.0,0.0,top
D2,150.5,-95.0,0.0,top
D3,166.25,-117.0,0.0,top
D4,155.25,-136.0,0.0,top
D5,140.75,-150.0,0.0,top
D6,131.0,-158.0,0.0,top
D7,121.25,-150.0,0.0,top
D8,106.75,-136.0,0.0,top
D9,95.75,-117.0,0.0,top
J1,131.0,-124.5,0.0,top
J2,133.495,-134.75,90.0,top
R1,141.25,-113.25,0.0,top
R2,131.0,-146.25,270.0,top
RV1,153.1375,-116.0,270.0,top
U1,141.19,-123.19,0.0,top
U2,120.69,-127.56,0.0,top
